key,en,ar,az,bn,de,fr,id,it,ms,ru,tr,ur
select_manual,Select Manual,تحديد يدوي,Əl ilə seçin,ম্যানুয়ালি নির্বাচন করুন,Manuell wählen,Sélectionner Manuellement,Pilih Manual,Selezione manuale,Pilih Manual,Выбрать вручную,Manuel Seç,انتخاب کریں
select_minutes_info,Show notifications in {value} before the {value2} time,إظهار الإشعارات في {value} قبل {value2} من الوقت,Bildirişləri {value2} vaxtından əvvəl {value} ilə göstərin,{value2} সময়ের পুর্বেই {value} নোটিফিকেশন দেখুন,Anzeigen von Benachrichtigungen in {value} vor der {value2}-Zeit,Afficher les notifications {value} avant le temps de {value2},Aplikasi akan menampilan notifikasi {value} sebelum waktu {value2} tiba,Mostra notifiche {value} prima del {value2},Tunjukkan notifikasi dalam {value} sebelum masuk waktu {value2},Показывать уведомление за {value} до {value2},{value2} vaktinden {value} önce bildirimleri göster,اطلاع {value} میں {value2} سے قبل دکھائیں
select_prayer,Select prayer,حدد الصلاة,Select prayer,Select prayer,Gebet auswählen,Sélectionnez la prière,Pilih salat,Seleziona la preghiera,Pilih solat,Выберите молитву,Vakit Seçin,نماز چنیں
select_ringtone_message,Select this tone?,تعيين هذه النغمة؟,Bu tonu seçin?,এই টোন বাছুন?,Diesen Ton auswählen?,Choisir ce son?,Pilih bunyi ini?,Vuoi selezionare questo suono?,Pilih nada ini?,Выбрать этот звук?,Bu ses tonu seçilsin mi?,کیا یہ آواز چنیں؟
select_time_zone,Select time zone,تحديد المنطقة الزمنية,Saat qurşağını seçin,সময় অঞ্চল নির্বাচন করুন,Zeitzone auswählen,Sélectionnez le fuseau horaire,Pilih zona waktu,Seleziona fuso orario,Pilih zon waktu,Выберите часовой пояс,Zaman dilimini seç,ٹائم زون منتخب کریں
selected,Selected,محدد,Selected,Selected,Ausgewählt,Sélectionné,Terpilih,Selected,Dipilih,Выбрано,Selected,منتخب کریں
semi_transparent,Semi-transparent,شبه شفاف,Yarı şəffaf,আধা স্বচ্ছ,Halbtransparent,Semi-Transparent,Setengah-transparan,Semitrasparente,Separa-lutsinar,Полупрозрачный,Yarı saydam,نیم شفاف
sensors,Sensors,أجهزة الاستشعار,Sensorlar,সেন্সরস,Sensoren,Capteurs,Sensor,Sensori,Sensor,Датчики,Sensörler,سینسر
sep,Sep,سبت,Sen,সেপ্ট,Sep,Sep,Sep,Set,Sep,Сен,Eyl,ستمبر
separate_dnd_settings,Separate settings,إعدادات مستقلة,Ayrı parametrlər,পৃথক সেটিংস,Getrennte Einstellungen,Paramètres de séparation,Pisah setelan,Impostazioni separate,Tetapan berasingan,Отдельные Настройки,Farklı ayarlar,الگ الگ سیٹنگ
separate_dnd_settings_sum,Separate settings for each times,إعدادات مستقلة لكل صلاة,Hər dəfə ayrı ayarlar,প্রতিটি সময়ের জন্য পৃথক পৃথক সেটিংস,Getrennte Einstellungen für jede Zeit,Paramètres de séparation pour chaque temps,Pisah setelan untuk tiap waktu,Impostazioni separate per ogni orario,Tetapan berasingan untuk setiap waktu,Отдельные настройки для каждого времени,Her zaman için ayrı ayarlar,تمام اوقات کی الگ سیٹنگ
september,September,سبتمبر,Sentyabr,সেপ্টেম্বর,September,Septembre,September,Settembre,September,Сентябрь,Eylül,ستمبر
set_alarm_suhoor,Set Suhoor Alarm,ضبط منبه السحور,Suhur Siqnalını qurun,সেহেরীর এলার্ম দিন,Sahūr-Alarm einstellen,Définir l'alarme pour le Souhour,Setel Alarm Sahur,Imposta sveglia Suhoor,Tetapkan Penggera Sahur,Установить сигнал на Сухур,Sahur için alarm kur,سحری الارم سیٹ کریں
set_as_current_location,Set as current location,تعيين كموقع حالي,Cari məkan kimi təyin edin,বর্তমান অবস্থান হিসাবে সেট করুন,Als aktuellen Standort festlegen,Définir comme emplacement actuel,Pilih sebagai lokasi sekarang,Imposta come posizione attuale,Tetapkan sebagai lokasi semasa,Установить как Текущее местоположение,Konum ayarla,موجودہ مقام کے طور پر سیٹ کریں
set_imsak_time,Set time of Imsak,ضبط وقت الإمساك,İmsak vaxtını təyin edin,ইমসাকের সময় নির্ধারণ করুন,Zeit von Imsak einstellen,Définir l'heure de l'Imsak,Atur waktu Imsak,Imposta orario dell'imsak,Tetapkan waktu Imsak,Установить время для Имсак,İmsak vaktini ayarla,انتہاۓسحر گا وقت مقرر کریں
set_minutes,Set Minutes,ضبط الدقائق,Dəqiqəni qurun,মিনিট সেট,Minuten einstellen,Réglages Minutes,Atur Menit,Imposta minuti,Tetapan Minit,Установить минуты,Dakikayı ayarla,منٹ سیٹ کریں
setting_alarm_full_notification_title,Fullscreen notification,إشعارات بكامل الشاشة,Bildiriş pəncərəsi,পপআপ নোটিফিকেশন,Benachrichtigung im Vollbildmodus,Fenêtre de notification,Notifikasi layar penuh,Notifica a schermo intero,Pemberitahuan skrin penuh,Полноэкранное уведомление,Tam ekran bildirimi,فل اسکرین کی اطلاع
settings,Settings,الإعدادات,Ayarlar,সেটিংস,Einstellungen,Paramètres,Setelan,Impostazioni,Tetapan,Настройки,Ayarlar,ترتیبات
settings_location_sum,"Elevation, auto update",الارتفاع، التحديث التقائي,"Yüksəklik, avtomatik yeniləmə","উচ্চতা, অটো আপডেট","Elevation, automatische Aktualisierung","Élévation, mise à jour automatique","Ketinggian, otomatis perbarui","Elevazione, aggiornamento automatico","Ketinggian, auto kemas kini","Высота, автообновление","Yükseklik, otomatik güncelleme",بلندی، خودبخود اپڈیٹ
seventh_day,7th day,اليوم السابع,7-ci gün,৭ম দিন,7. Tag,7ème jour,Hari ke-7,Settimo giorno,Hari ketujuh,7-й день,Yedinci gün,ساتواں دن
sha,Sha,شع,Şab,শাবান,Sba,Sha,Skb,Sha,Sbn,Шаб,Şab,شعبان
shab,Sha'ban,شعبان,Şaban,শাবান,Scha'bān,Sha'ban,Syakban,Sha'ban,Syaaban,Ша'бан,Şaban,شعبان
shaban,Sha'ban,شعبان,Şaban,শাবান,Schaʿbān,Sha'ban,Syakban,Sha'ban,Syaaban,Ша'бан,Şaban,شعبان المعظم
shafaq_abyad,Shafaq Abyad (Hanafi),الشفق الأبيض (حنفي),Ağ Şəfəq (Hənəfi),সাফাক আবিয়াদ (হানাফি),Schafaq al-Abyadh (Hanafi),Shafaq Abyad (Hanafite),Shafaq Abyad (Hanafi),Shafaq Abyad (Hanafi),Shafaq Abyad (Hanafi),Шафак аль-Абьяд (Ханифа),Şafak Abyad (Hanefi),شفق ابیض (حنفی)
shafaq_abyad_sum,Disappearance of Whiteness Shafaq,اختفاء الشفق الأبيض,Ağ Şəfəqinin itməsi,শুভ্রতা শফাকের অন্তর্ধান,Entschwinden von Weiß Schafaq,Disparition de la clarté du ciel selon Shafaq,Hilangnya Shafaq Keputihan,Scomparsa del candore Shafaq,Kehilangan Keputihan Shafaq,Исчезновение белых сумерек Шафак,Şafakta Beyazlığın Kaybolması,سفیدىِ شفق کا غائب ہونا
shafaq_ahmer,"Shafaq Ahmer (Syafii, Maliki, Hambali)",الشفق الأحمر (شافعي، مالكي، حنبلي),"Qırmızı Şəfəq (Şafi'i, Maliki, Hənbəli)","সাফাক আহমের (সাফিল, মালিকি, হামবালি)","Schafaq al-Ahmar (Schafi'i, Maliki, Hanbali)","Shafaq Ahmer (Shafi'ite, Malikite, Hanbalite)","Shafaq Ahmar (Syafii, Maliki, Hambali)","Shafaq Ahmer (Syafii, Maliki, Hambali)","Shafaq Ahmer (Syafii, Maliki, Hambali)","Шафак аль-Ахмар (аш-Шафии, Малик, Ахмад)","Şafak Ahmer (Şafi, Maliki, Hanbeli)",شفق احمر (شافعی، مالکی، حنبلی)
shafaq_ahmer_sum,Disappearance of Redness Shafaq,اختفاء الشقف الأحمر,Şəfəqin Qızartısının itməsi,লালচে গায়েব শফাক,Entschwinden der Röte Schafaq,Disparition de la couleur rougeâtre du ciel selon Shafaq,Hilangnya Shafaq Kemerahan,Scomparsa di arrossamento Shafaq,Kehilangan Kemerahan Shafaq,Исчезновение красных сумерек Шафак,Şafakta Kızıllığın Kaybolması,لالی شفق کا غائب ہونا
shafaq_general,Shafaq General,الشفق العام,Ümumi Şəfəq,সাফাক সাধারণ,Schafaq Allgemein,Configuration générale Shafaq,Shafaq Umum,Shafaq Generale,Shafaq Am,Шафак Основной,Şafak Genel,عام شفق
shafaq_general_sum,Uses Shafaq Abyad in Summer and Shafaq Ahmer in Winter. Transition from Abyad to Ahmer is used in Spring and Ahmer to Abyad in Fall,يستخدم شفق أبيض في الصيف وشفق أحمر في الشتاء. يُستخدم الانتقال من الأبيض إلى الأحمر في الربيع والأحمر إلى الأبيض في الخريف,"Yayda Ağ Şəfəqdən, Qışda Qırmızı Şəfəqdən istifadə edir. Ağdan Qırmızıya keçid Baharda və Qırmızı payızda Ağa istifadə olunur",গ্রীষ্মে শফাক আবাদ এবং শীতে শফাক আহমর ব্যবহার করুন। আব্যাদ থেকে আহমরে রূপান্তরটি বসন্তে এবং আহমরকে পতনের আবিয়াদে ব্যবহৃত হয়,Verwendet Schafaq al-Abyadh im Sommer und Schafaq al-Ahmar im Winter. Der Übergang von Abyadh zu Ahmar wird im Frühling verwendet und der Übergang von Ahmar zu Abyadh im Herbst,Utilise Shafaq Abyad en été et Shafaq Ahmer en hiver. La transition d'Abyad à Ahmer est utilisée au printemps et Ahmer à Abyad en automne,Menggunakan Shafaq Abyad di Musim Panas dan Shafaq Ahmar di Musim Dingin. Transisi dari Abyad ke Ahmar digunakan di Musim Semi dan Ahmar ke Abyad di Musim Gugur,Usa Shafaq Abyad in estate e Shafaq Ahmer in inverno. La transizione da Abyad ad Ahmer viene utilizzata in primavera e da Ahmer ad Abyad in autunno,Menggunakan Shafaq Abyad di Musim Panas dan Shafaq Ahmar di Musim Dingin. Peralihan dari Abyad ke Ahmar digunakan ketika Musim Bunga dan Ahmar ke Abyad pada Musim Luruh,"Применяет Шафак аль-Абьяд летом, а Шафак аль-Ахмар - зимой. Переход из Абьяд в Ахмар происходит весной, а из Ахмар в Абьяд - осенью","Yazın Shafaq Abyad'ı, kışın ise Shafaq Ahmer'i kullanır. İlkbaharda Abyad'dan Ahmer'e, sonbaharda Ahmer'den Abyad'a geçiş kullanılır",گرمیوں میں شفق ابیض اور سردیوں میں شفق احمر کا استعمال کرتا ہے۔ ابیض سے احمر میں منتقلی موسمِ بہار میں اور احمر سے ابیض موسمِ خزاں میں استعمال ہوتی ہے
share,Share,مشاركة,Paylaş,ভাগ করুন,Teilen,Partager,Bagikan,Condividi,Kongsi,Поделиться,Paylaş,شیئر کریں
share_down_link,Android app,تطبيق الآندرويد,Android tətbiqi,অ্যান্ড্রয়েড অ্যাপ,Android-App,Application Android,Aplikasi Android,App Android,Aplikasi android,Приложение Android,Android uygulaması,اینڈرائیڈ ایپ
share_title,Prayer times for {value} {value2} ({value3}),أوقات الصلاة لـ {value} {value2} ({value3}),{value} {value2} ({value3}) üçün namaz vaxtları,নামাযের জন্য সময় {value} {value2} ({value3}),Gebetszeiten für {value} {value2} ({value3}),Temps de prière pour {value} {value2} ({value3}),Waktu Salat untuk {value} {value2} ({value3}),Orario preghiera per {value} {value2} ({value3}),Waktu solat untuk {value} {value2} ({value3}),"Расписание молитв, {value} {value2} ({value3})",Ezan vakitleri {value} {value2} ({value3}),اوقاتِ نماز برائے {value} {value2} ({value3})
shawwal,Shawwal,شوال,Şəvvəl,শওয়াল,Schawwāl,Shawwal,Syawal,Shawwal,Syawal,Шавваль,Şevval,شوّال المکرم
shawwal_fasting,Shawwal Fasting,صيام الست من شوال,Şəvval orucu,শাওয়ালের রোজা,Schawwāl-Fasten,Le jeûne du mois de Shawwal,Puasa Syawal,Digiuno di Shawwal,Puasa Syawal,Пост в Шавваль,Şevval Orucu,شوال کا روزہ
show,Show,إظهار,Göstər,দেখান,Anzeigen,Affichage,Tampilkan,Mostra,Papar,Показать,Göster,دکھائیں
show_complete_prayer_times,Use expanded view,استخدام عرض موسع,Use expanded view,Use expanded view,Erweiterte Ansicht verwenden,Utiliser la vue étendue,Gunakan tampilan yang diperluas,Use expanded view,Gunakan paparan dikembangkan,Расширенный вид,Use expanded view,توسیع شدہ ویو استعمال کریں
show_countdown,Show countdown,إظهار المؤقت,Geri sayımı göstərin,Show countdown,Countdown anzeigen,Afficher le compte à rebours,Tampilkan hitung mundur,Mostra conto alla rovescia,Tunjukkan kiraan undur,Показать обратный отсчёт,Geri sayımı göster,الٹی‌گنتی دکھائیں
show_on_widget,Show on widget,عرض في الويدجت,Vidcetdə göstərin,উইগেটে দেখান,Im Widget anzeigen,Afficher sur le widget,Tampilkan pada widget,Mostra sul widget,Papar di widget,Показать на виджете,Widget de göster,وِجیٹ پر دکھائیں
shuruq,Shuruq,الشروق,Günəşin doğuşu,সূর্যদয়,Sonnenaufgang,Shourouq,Terbit,Alba,Syuruk,Восход,Güneş,طلوع
silence,Mute,كتم,Səssiz,নিঃশব্দ করুন,Stumm,Muet,Bisu,Muto,Bisu,Тишина,Sustur,میوٹ
silence_after,Alarm timeout,مهلة التنبيه,Siqnal vaxtı bitdi,অ্যালার্ম সময়সীমা,Zeitüberschreitung des Alarms,Délai d'alarme,Waktu habis alarm,Allarme interrotto,Masa tamat penggera,Тайм-аут сигнала,Alarm zaman aşımı,الارم ٹائم آؤٹ
silence_after_behavior,After alarm timeout,بعد انتهاء مهلة التنبيه,Siqnal vaxtı bitdikdən sonra,After alarm timeout,Nach Alarm-Timeout,Après le délai d'alarme,Setelah waktu habis alarm,Dopo il timeout dell'allarme,Selepas masa tamat penggera,После тайм-аута сигнала,Alarm zaman aşımından sonra,الارم کے بعد ٹائم آؤٹ
silence_top_minutes,For {value},لمدة {value},{value} üçün,{value} জন্য,Für {value},Pour {value},Selama {value},Per {value},Untuk {value},В течение {value},{value} için,{value} کے لیے
silent,Silent,صامت,Səssiz,নিঃশব্দ,Lautlos,Silencieux,Diam,Silenzioso,Senyap,Тишина,Sessiz,سائلنٹ
silent_dialog_info,The device will switch to silent mode {value} after the prayer time,سيقوم الجهاز بالتحويل إلى وضع الصامت بعد {value} من وقت الأذان,Cihaz namaz vaxtından sonra {value} səssiz rejimə keçəcək,ডিভাইসটি নিঃশব্দ মোডে বদলে যাবে {value} নামাযের সময় পরে,Das Gerät wechselt in den Lautlosmodus {value} nach der Gebetszeit,L'appareil passera en mode Silencieux {value} après l'heure de la prière,Perangkat akan beralih ke mode sunyi {value} setelah waktu salat,Il dispositivo passerà alla modalità silenziosa {value} dopo l'ora della preghiera,Peranti akan bertukar ke mod senyap {value} selepas waktu solat,Устройство переключится в режим Тишина через {value} после наступления времени молитвы,"Cihaz, namaz vaktinden sonra {value} sessiz moda geçecek",موبائل نماز کے وقت کے بعد {value} سائلنٹ موڈ میں بدل جائے گا
silent_dialog_info_2,The device will switch to silent mode {value} before the prayer time,سيقوم الجهاز بالتحويل إلى وضع الصامت قبل {value} من وقت الأذان,Cihaz namaz vaxtından əvvəl {value} səssiz rejiminə keçəcək,ডিভাইসটি নিঃশব্দ মোডে বদলে যাবে {value} নামাযের সময় আগে,Das Gerät wechselt in den Lautlosmodus {value} vor der Gebetszeit,L'appareil passera en mode Silencieux {value} avant l'heure de la prière,Perangkat akan beralih ke mode sunyi {value} sebelum waktu salat,Il dispositivo passerà alla modalità silenziosa {value} prima dell'ora della preghiera,Peranti akan beralih ke mod senyap {value} sebelum waktu solat,Устройство переключится в режим Тишина за {value} до наступления времени молитвы,"Cihaz, namaz vaktinden {value} önce sessiz moda geçecek",موبائل نماز کے وقت سے پہلے {value} خاموش موڈ میں بدل جائے گا
silent_dialog_info_3,The device will switch to silent mode at start of prayer time,سيقوم الجهاز بالتحويل إلى وضع الصامت عند الأذان,Cihaz namaz vaxtının əvvəlində səssiz rejimə keçəcəkdir,ডিভাইসটি নিঃশব্দ মোডে বদলে যাবে নামায শুরুর সময়ে,Das Gerät wechselt in den Lautlosmodus zu Beginn der Gebetszeit,L'appareil passera en mode Silencieux au début de l'heure de la prière,Perangkat akan beralih ke mode sunyi ketika waktu salat,Il dispositivo passerà alla modalità silenziosa all'inizio del tempo di preghiera,Peranti akan bertukar ke mod senyap ketika mula waktu solat,Устройство переключится в режим Тишина в момент наступления времени молитвы,Namaz vakti başladığında cihaz sessiz moda geçecektir,نماز کے وقت شروع ہونے پر ڈیوائس سائلنٹ موڈ میں بدل جائے گا
silent_duration,Silent duration,المدة الزمنية لوضع الصامت,Səssiz: müddət,নিঃশব্দ সময়কাল,Lautlos Dauer,Durée du mode Silencieux,Durasi sunyi,Durata silenziosa,Tempoh masa senyap,Продолжительность режима Тишина,Sessiz süre,سائلنٹ کی مدت
silent_jumaah_title,Silent when Jumaah prayer,وضع الصامت أثناء صلاة الجمعة,Cümə namazı səssiz olduqda,জম্মাহ'র নামাযে নিঃশব্দ চালু,Lautlos beim Freitagsgebet,Mode Silencieux lors de la prière de Joumaah,Hening waktu salat Jumat,Silenzioso durante la preghiera del Jumaah,Senyap ketika solat Jumaat,Тишина во время Джумаа молитвы,Cuma vaktinde sessiz kal,جمعہ کی نماز کے وقت سائلنٹ کریں
silent_mode,Silent mode,الوضع الصامت,Səssiz rejimi,নিঃশব্দ অবস্থা,Lautlosmodus,Mode Silencieux,Mode sunyi,Modalità silenziosa,Mod senyap,Режим Тишина,Sessiz mod,سائلنٹ موڈ
sixth_day,6th day,اليوم السادس,6-cı gün,৬ঠ দিন,6. Tag,6ème jour,Hari ke-6,Sesto giorno,Hari keenam,6-й день,Altıncı gün,چھٹا دن
skip_one_time,Skip one time,تخطي مرة واحدة,Skip one time,Skip one time,Einmal überspringen,Ignorer une fois,Lewati sekali,Salta una volta,Langkau satu waktu,Пропустить один раз,Bir kez atla,ایک بار چھوڑ دیں
sky_gradient,Sky gradient,Sky gradient,Sky gradient,Sky gradient,Sky gradient,Sky gradient,Gradien langit,Sky gradient,Sky gradient,Sky gradient,Sky gradient,Sky gradient
snooze,Snooze,غفوة,Mürgülə,Snooze,Schlummern,Répétition,Tunda,Posticipare,Tunda,Отсрочка,Kestirmek,سنوز
snooze_length,Snooze length,مدة الغفوة,Mürgüləmə müddəti,ঝিমানোর দৈর্ঘ্য,Schlummerlänge,Durée de la répétition,Lama penundaan,Durata posticipo,Lama masa tunda,Продолжительность отсрочки,Erteleme uzunluğu,سنوز مدت
snoozing_until,Snoozing until {value},غفوة حتى {value},{value} qədər təxirə salınır,{value} পর্যন্ত ঝিমান,Schlummern bis {value},Répéter jusqu'à {value},Ditunda sampai {value},Sonnecchia fino a {value},Tunda sehingga {value},Дремать до {value},{value} kadar erteleme,{value} تک سنوز
solid,Solid,سادة,Möhkəm,Solid,Fest,Plein,Padat,Solido,Padat,Сплошной,Sağlam,ٹھوس
something_wrong,Something went wrong,هناك خطأ ما,Nəsə səhv getdi,কিছু ভুল রয়েছে,Etwas ist schiefgelaufen,Quelque chose s'est mal passé,Terjadi kesalahan,Qualcosa è andato storto,Kesilapan mesti berlaku,Что-то пошло не так,Bir şeyler yanlış gitti,کچھ گڑبڑ ہوگئی
soon,Soon,أقل من دقيقة واحدة,1 dəqiqədən az,১ মিনিটেরও কম,Weniger als 1 Minute,Moins d'une minute,Segera,Meno di un minuto,Kurang dari 1 minit,Менее 1 минуты осталось,1 dakikadan az,۱ منٹ سے کم
sound,Sound,الصوت,Səs,শব্দ,Ton,Sonnerie,Bunyi,Suono,Bunyi,Звук,Ses,آواز
sound_vibrate,Sound & Vibrate,الصوت والاهتزاز,Səs və Titrəmə,শব্দ এবং কম্পন,Ton & Vibration,Sonnerie & Vibration,Bunyi & Getar,Suono & vibrazione,Bunyi & Getar,Звук и Вибрация,Ses & Titreşim,آواز اور وائبریٹ
source,Source,المصدر,Mənbə,উৎস,Quelle,Source,Sumber,Fonte,Sumber,Источник,Kaynak,ذریعہ
start_date,Start date,بداية التاريخ,Start date,Start date,Startdatum,Date de début,Tanggal mulai,Data inizio,Tarikh mula,Дата начала,Başlangıç ​​tarihi,تاریخِ ابتداء
static_timetable,Static timetable,جدول زمني ثابت,Static timetable,অপরিবর্তনীয় সময়সূচি,Statischer Zeitplan,Tableau d'horaire statique,Jadwal statis,Orario statico,Jadual statik,Статическое расписание,Statik zaman çizelgesi,رکا ہوا ٹائم ٹیبل
static_timetable_auto_update_warning,Auto-update location is enabled. The nearest location will be used,تم تفعيل التحديث التلقائي للموقع، سيتم استخدام أقرب موقع,Auto-update location is enabled. The nearest location will be used,স্বয়ংক্রিয় স্হান নির্ধারণ চালু রয়েছে। সবচেয়ে কাছের স্থানটি ব্যবহার করা হবে,Die automatische Standortaktualisierung ist aktiviert. Der nächstgelegene Standort wird verwendet,La mise à jour automatique de l'emplacement est activée. L'emplacement le plus proche sera utilisé,Otomatis perbarui lokasi diaktifkan. Lokasi terdekat akan digunakan,L'aggiornamento automatico della posizione è abilitata. Verrà utilizzata la posizione più vicina,Auto-kemas kini lokasi didayakan. Lokasi terdekat akan digunakan,Включено автообновление местоположения. Будет использоваться ближайшее местоположение,Otomatik güncelleme konumu etkinleştirildi. En yakın konum kullanılacaktır,خودکار اپ ڈیٹ مقام فعال ہے۔ قریب ترین مقام استعمال کیا جائے گا
static_timetable_auto_update_warning_enable,You can enable auto-update location for automatic change to the nearest location,يمكنك تفعيل التحديث التلقائي للموقع للتغيير التلقائي إلى أقرب موقع,You can enable auto-update location for automatic change to the nearest location,আপনি স্বয়ংক্রিয়ভাবে নিকটস্থ স্থানে স্হান পরিবর্তন চালু করতে পারবেন,Du kannst die automatische Standort-Erfassung aktivieren damit stets die nächstgelegene Ortschaft ausgewäht wird,Vous pouvez activer la mise à jour automatique de l'emplacement pour un changement automatique de l'emplacement le plus proche,Anda dapat mengaktifkan otomatis perbarui lokasi untuk otomatis mengganti ke lokasi terdekat,È possibile abilitare l'aggiornamento automatico della posizione per il passaggio automatico alla posizione più vicina,Anda boleh mendayakan lokasi kemas kini automatik untuk perubahan automatik ke lokasi terdekat,Вы можете включить автообновление местоположения для автоматического изменения на ближайшее местоположение,En yakın konuma otomatik geçiş için otomatik güncelleme konumunu etkinleştirebilirsiniz,آپ قریبی مقام پر خودکار تبدیلی کے لیے خودکار اپ ڈیٹ مقام کو فعال کر سکتے ہیں
static_timetable_auto_update_warning_enable_one,"If you have more than one location, you can enable auto-update location for automatic change to the nearest location",إذا كان لديك أكثر من موقع واحد، يمكنك تفعيل التحديث التلقائي للموقع للتغيير التلقائي إلى أقرب موقع,"If you have more than one location, you can enable auto-update location for automatic change to the nearest location","আপনার যদি একাধিক স্থান থাকে, তাহলে নিকটতম স্থানে স্বয়ংক্রিয়ভাবে স্হান পরিবর্তন চালু করতে পারবেন","Wenn Sie mehr als einen Standort ausgewählt haben, können Sie die automatische Standortaktualisierung aktivieren, um automatisch zum nächstgelegenen Standort zu wechseln","Si vous avez plus d'un emplacement, vous pouvez activer la mise à jour automatique de l'emplacement pour un changement automatique vers l'emplacement le plus proche","Jika Anda memiliki lebih dari satu lokasi, Anda dapat mengaktifkan otomatis perbarui lokasi untuk otomatis mengganti ke lokasi terdekat","Se hai più di una posizione, puoi abilitare l'aggiornamento automatico della posizione per il passaggio automatico alla posizione più vicina","Jika anda mempunyai lebih daripada satu lokasi, anda boleh mendayakan lokasi kemas kini automatik untuk perubahan automatik ke lokasi terdekat","Если у вас несколько местоположений, вы можете включить автообновление местоположения для автоматического изменения на ближайшее местоположение","Birden fazla konumunuz varsa, en yakın konuma otomatik geçiş için konumu otomatik güncellemeyi etkinleştirebilirsiniz",اگر آپ کے پاس ایک سے زیادہ مقامات ہیں، تو آپ قریبی مقام پر خودکار تبدیلی کے لیے خودکار اپ ڈیٹ مقام کو فعال کر سکتے ہیں
static_timetable_info,You can use your timetable by importing CSV file. See our sample CSV here,يمكنك استخدام جدولك الزمني عن طريق استيراد ملف CSV. انظر نموذج CSV الخاص بنا هنا,You can use your timetable by importing CSV file. See our sample CSV here,CSV ফাইল ইমপোর্ট করে নিজস্ব সময়সূচি ব্যবহার করতে পারবেন। আমাদের নমুনা CSV ফাইল দেখুন,"Sie können Ihren Zeitplan benutzen, indem Sie eine CSV-Datei importieren. Sehen Sie sich unser CSV-Beispiel hier an",Vous pouvez utiliser votre tableau d'horaire en important un fichier CSV. Voir notre exemple de CSV ici,Anda dapat menggunakan jadwal Anda dengan mengimpor berkas CSV. Lihat contoh CSV kami di sini,Puoi usare la tua schedulazione importando il file CSV. Guarda il nostro CSV di esempio qui,Anda boleh menggunakan jadual anda dengan mengimport fail CSV. Lihat contoh CSV kami di sini,"Вы можете использовать свое расписание, импортировав файл CSV. См. наш образец CSV здесь",Zaman çizelgenizi CSV dosyasını içe aktararak kullanabilirsiniz. Örnek CSV dosyamıza buradan bakın,آپ سی ایس وی فائلیں درآمد کرکے اپنا ٹائم ٹیبل استعمال کرسکتے ہیں۔ ہماری نمونہ فائل دیکھیں
static_timetable_summary,Use your timetable by importing CSV files,استخدم الجدول الزمني الخاص بك عن طريق استيراد ملفات CSV,Use your timetable by importing CSV file,CSV ফাইল ইমপোর্ট করে নিজস্ব সময়সূচি ব্যবহার করুন,Benutzen Sie Ihren Zeitplan durch den Import von CSV-Dateien,Utilisez votre tableau d'horaire en important des fichiers CSV,Gunakan jadwal Anda dengan mengimpor berkas CSV,Usa la tua schedulazione importando da file CSV,Gunakan jadual anda dengan mengimport fail CSV,"Используйте свое расписание, импортировав CSV-файлы",CSV dosyalarını içe aktararak zaman çizelgenizi kullanın,سی ایس وی فائلیں درآمد کرکے اپنا ٹائم ٹیبل استعمال کریں
status_bar_notification_info_overflow,999+,999+,999+,৯৯৯+,999+,999+,999+,999+,999+,>999,999+,+999
status_pending,Status : Pending,الحالة : قيد الإنتظار,Vəziyyət: gözləyir,অবস্থাঃ বিচারাধীন,Status: Ausstehend,Statut: en cours,Status : Menunggu,Stato: In Attesa,Status : Belum selesai,Статус : ожидание,Durum: Beklemede,موجودہ حال: زیرِ التوا
stop,Stop,إيقاف,Dur,থামুন,Stoppen,Arrêter,Berhenti,Ferma,Berhenti,Стоп,Dur,روکیں
stream_volume,Volume stream,نوع التنبيه,Səs axını,ভলিউম স্ট্রিম,Quelle der Lautstärke,Flux de volume,Jalur volume,Flusso di volume,Volum strim,Громкость,Ses yüksekliği,آواز ٹائپ
stroke,Stroke,حواف,Vuruş,Stroke,Kontur,Contour,Garis,Tocco,Guratan,Обводка,Darbe,لکیر
stroke_rounded,Stroke rounded,حد الشكل,Vuruş dairəvi,্ট্রোক বৃত্তাকার,Kontur abgerundet,Contour arrondi,Garis membulat,Tratto arrotondato,Guratan bundar,Закругленная рамка,Sert yuvarlatılmış,دائروی لکیر
style,Style,النمط,Stil,ভঙ্গি,Stil,Style,Gaya,Stile,Gaya,Стиль,Sitil,انداز
success_add_year,{value} is added,{value} تمت إضافته,{value} is added,{value} যোগ করা হয়েছে,{value} wurde hinzugefügt,{value} est ajouté,{value} ditambahkan,{value} e stato aggiunto,{value} ditambahkan,{value} добавлено,{value} eklendi,{value} شام کیا گیا
suhoor,Suhoor,السحور,Suhur,সেহেরী,Sahūr,Souhoor,Sahur,Suhoor,Sahur,Сухур,Sahur,سحری
sum_random,Random color when opening the application,لون عشوائي عند فتح التطبيق,Tətbiqi açarkən təsadüfi rəng,অ্যাপ্লিকেশনটি খোলার সময় বিভিন্ন রঙ,Zufällige Farbe beim Öffnen der Anwendung,Couleur aléatoire lors de l'ouverture de l'application,Acak warna ketika membuka aplikasi,Colore casuale all'apertura dell'applicazione,Warna rawak semasa membuka aplikasi,Случайный цвет при открытии приложения,Açılışta rastgele renkler kullan,ایپلیکیشن کھولتے ہوئے بے ترتیب رنگ
